Sigla;Código;Município;1991;2000;2010
AM;1303809;São Gabriel da Cachoeira;28.28;52.37;42.56
AM;1303908;São Paulo de Olivença;69.81;63.15;47.99
AM;1303957;São Sebastião do Uatumã;67.35;37.23;20.35
AM;1304005;Silves;19.87;28.95;25.98
AM;1304062;Tabatinga;30.61;27.54;25.83
AM;1304104;Tapauá;60.52;59.97;39.66
AM;1304203;Tefé;27.27;22.3;15.15
AM;1304237;Tonantins;45.32;53.54;30.93
AM;1304260;Uarini;50.48;37.23;26.51
AM;1304302;Urucará;36.06;35.74;31.33
AM;1304401;Urucurituba;66.38;50.97;32.03
AP;1600055;Serra do Navio;20.48;33.73;16.99
AP;1600105;Amapá;35.44;29.28;21.53
AP;1600154;Pedra Branca do Amaparí;48.31;44.72;19.65
AP;1600204;Calçoene;35.84;36.43;22.76
AP;1600212;Cutias;31.93;42.78;23.64
AP;1600238;Ferreira Gomes;42.54;21.67;14.94
AP;1600253;Itaubal;14.45;31.49;33.09
AP;1600279;Laranjal do Jari;13.53;17;8.94
AP;1600303;Macapá;8.62;12.25;5.89
AP;1600402;Mazagão;38.05;41.01;24.89
AP;1600501;Oiapoque;15.59;17.28;21.31
AP;1600535;Porto Grande;16.12;25.12;18
AP;1600550;Pracuúba;50.26;36.54;37.72
AP;1600600;Santana;19.39;21.23;8.92
AP;1600709;Tartarugalzinho;43.19;39.44;36.87
AP;1600808;Vitória do Jari;33.54;30.4;22.33
BA;2900108;Abaíra;40.55;26.23;18.39
BA;2900207;Abaré;33.98;36.51;27.85
BA;2900306;Acajutiba;48.05;40.47;26.23
BA;2900355;Adustina;42.33;30.38;32.84
BA;2900405;Água Fria;65.54;50.99;28.8
BA;2900504;Érico Cardoso;58.05;44.02;23.69
BA;2900603;Aiquara;58.4;33.84;11.27
BA;2900702;Alagoinhas;27.27;17.08;8.02
BA;2900801;Alcobaça;48.13;22.12;13.94
BA;2900900;Almadina;68.12;30.38;12.12
BA;2901007;Amargosa;47.2;21.04;14.55
BA;2901106;Amélia Rodrigues;36.82;21.46;11.26
BA;2901155;América Dourada;52.05;41.96;31.14
BA;2901205;Anagé;56.03;44;21.74
BA;2901304;Andaraí;61.74;46.02;30.4
BA;2901353;Andorinha;54.25;41.69;22.07
BA;2901403;Angical;43.85;37.99;22.07
BA;2901502;Anguera;59.82;38.59;14.26
BA;2901601;Antas;42.28;24.39;17.47
BA;2901700;Antônio Cardoso;62.77;36.63;22.49
BA;2901809;Antônio Gonçalves;60.12;36.11;16.01
BA;2901908;Aporá;48.95;42.55;37.72
BA;2901957;Apuarema;57.89;38.27;13.05
BA;2902005;Aracatu;67.29;42.23;12.39
BA;2902054;Araças;49.86;42.08;25.88
BA;2902104;Araci;63.46;53.45;31.46
BA;2902203;Aramari;51.57;37.92;18.05
BA;2902252;Arataca;67.92;34.36;12.78
BA;2902302;Aratuípe;44.48;34.73;17.32
BA;2902401;Aurelino Leal;59.77;41.84;12.91
BA;2902500;Baianópolis;61.08;54.24;33.94
BA;2902609;Baixa Grande;61.25;39.06;24.43
BA;2902658;Banzaê;43.05;40.78;23.3
BA;2902708;Barra;65.48;54.5;41.55
BA;2902807;Barra da Estiva;51.23;23.76;18.55
BA;2902906;Barra do Choça;42.24;19.63;12.55
BA;2903003;Barra do Mendes;48.27;32.19;24.88
BA;2903102;Barra do Rocha;62.21;38.69;13.45
BA;2903201;Barreiras;20.63;12.95;5.52
BA;2903235;Barro Alto;43.38;32.53;24.6
BA;2903276;Barrocas;58.82;36.95;14.71
BA;2903300;Governador Lomanto Júnior;69.34;27.88;15.21
BA;2903409;Belmonte;42.1;28.45;13.19
