Sigla	Código	Município	1991	2000	2010
AM	1302900	Maués	80.24	68.91	54.17
AM	1303007	Nhamundá	78.65	71.51	62.76
AM	1303106	Nova Olinda do Norte	64.05	63.34	58.68
AM	1303205	Novo Airão	71.92	60.29	47.65
AM	1303304	Novo Aripuanã	62.39	62.61	51.32
AM	1303403	Parintins	66.83	65.66	42.12
AM	1303502	Pauini	67.49	58.76	65.4
AM	1303536	Presidente Figueiredo	40.18	38.28	25.21
AM	1303569	Rio Preto da Eva	53.14	63.74	35.59
AM	1303601	Santa Isabel do Rio Negro	87.26	74.71	70.85
AM	1303700	Santo Antônio do Içá	89.51	81.99	73.16
AM	1303809	São Gabriel da Cachoeira	58.79	66.2	56.81
AM	1303908	São Paulo de Olivença	82.6	83.31	66.11
AM	1303957	São Sebastião do Uatumã	97.02	69.85	46.65
AM	1304005	Silves	48.46	55.07	51.94
AM	1304062	Tabatinga	62.77	53.67	46.19
AM	1304104	Tapauá	86.14	82.76	58.07
AM	1304203	Tefé	54.99	53.14	34.38
AM	1304237	Tonantins	79.2	80.28	49.59
AM	1304260	Uarini	80.16	64.66	55.68
AM	1304302	Urucará	65.1	67.56	49.07
AM	1304401	Urucurituba	85.04	73.64	49.82
AP	1600055	Serra do Navio	40.96	56.54	29.33
AP	1600105	Amapá	58.73	52.73	42.01
AP	1600154	Pedra Branca do Amaparí	77.24	66.14	36.14
AP	1600204	Calçoene	61.83	55.93	41.85
AP	1600212	Cutias	69.93	70.07	47.76
AP	1600238	Ferreira Gomes	67.17	55.5	33.75
AP	1600253	Itaubal	71.34	71.17	63.69
AP	1600279	Laranjal do Jari	37.36	38.59	24.49
AP	1600303	Macapá	25.92	30.07	18.15
AP	1600402	Mazagão	63.77	66.36	43.51
AP	1600501	Oiapoque	38.83	39.64	31.24
AP	1600535	Porto Grande	50.42	47.65	35.58
AP	1600550	Pracuúba	81.78	69.32	55.75
AP	1600600	Santana	46.18	47.55	25.39
AP	1600709	Tartarugalzinho	68.69	67.45	56.61
AP	1600808	Vitória do Jari	61.75	55.64	41.64
BA	2900108	Abaíra	74.15	51.44	31.74
BA	2900207	Abaré	69.32	62.76	47.77
